Datum	DDVEC	FHVEC	FG	FHX	FHXH	FHN	FHNH	FXX	FXXH	TG	TN	TNH	TX	TXH	T10N	T10NH	SQ	SP	Q	DR	RH	RHX	RHXH	PG	PX	PXH	PN	PNH	VVN	VVNH	VVX	VVXH	NG	UG	UX	UXH	UN	UNH	EV2
2015-01-07	155	25	32	50	11	10	4	80	11	47	-5	4	92	22	-24	6	0	0	56	16	5	2	14	10040	10065	8	10022	19	1	4	63	24	7	98	99	3	93	24	1
2015-01-08	210	48	56	100	12	20	22	160	12	88	49	24	120	11	41	24	5	6	148	46	48	20	2	10004	10043	24	9968	11	50	3	75	10	8	89	99	2	73	11	2
2015-01-09	233	39	39	50	7	20	1	90	9	38	10	24	67	13	-6	24	52	65	363	0	0	0	1	10110	10188	24	10043	1	62	4	80	13	2	85	96	24	64	14	4
2015-01-10	170	30	32	40	13	20	3	80	24	9	-25	6	49	14	-55	6	65	81	415	0	0	0	1	10181	10208	9	10130	24	42	5	65	14	3	95	99	8	85	14	5
2015-01-11	191	27	52	70	3	30	16	130	8	32	-3	2	62	19	-8	6	0	0	54	43	21	10	9	10061	10133	24	10009	12	21	12	66	22	8	91	99	12	79	23	1
2015-01-12	220	33	38	50	13	20	2	90	16	57	29	7	85	24	23	6	0	0	60	136	105	13	13	10120	10165	4	10084	17	16	24	63	3	8	95	99	14	83	1	1
2015-01-13	238	43	43	60	13	20	4	110	14	95	83	1	106	14	82	6	0	0	50	123	125	21	8	10093	10106	19	10082	12	13	3	63	15	8	98	99	1	95	15	1
2015-01-14	241	59	59	70	4	40	23	140	9	99	75	23	116	5	68	24	0	0	41	174	193	33	18	10103	10134	24	10091	17	26	13	69	23	8	95	99	1	89	5	1
2015-01-15	217	59	61	70	11	40	4	120	12	89	70	4	100	18	63	6	0	0	76	0	-1	-1	11	10183	10199	24	10145	1	58	4	73	19	7	86	94	4	78	18	1
2015-01-16	202	50	50	60	1	40	15	110	1	97	80	5	125	15	71	6	25	30	268	0	0	0	1	10206	10212	24	10197	4	64	5	75	13	5	82	90	5	73	14	4
2015-01-17	205	32	38	60	19	20	24	110	20	81	50	24	96	20	32	24	0	0	99	14	5	3	16	10203	10223	24	10184	16	50	12	70	1	8	91	97	24	85	2	1
2015-01-18	344	14	19	30	8	0	4	70	15	44	19	2	61	15	-8	6	3	4	132	63	108	51	7	10247	10293	24	10219	6	3	2	70	24	7	94	99	1	84	24	2
2015-01-19	305	21	23	40	14	10	1	90	14	36	14	23	66	12	-9	24	21	25	253	13	16	14	14	10298	10305	9	10289	13	58	22	66	13	5	95	99	17	83	12	3
2015-01-20	359	28	29	50	12	10	23	90	13	20	-28	23	50	13	-61	24	67	79	491	0	-1	-1	1	10324	10356	23	10297	2	46	24	75	13	1	88	98	22	71	12	6
2015-01-21	322	8	15	30	20	0	8	50	22	9	-38	1	37	24	-67	6	8	9	222	0	-1	-1	13	10360	10368	11	10353	24	0	3	65	24	8	98	99	1	94	15	2
2015-01-22	360	31	32	50	11	20	1	90	11	45	22	24	61	14	16	24	2	2	156	9	3	2	5	10319	10348	1	10306	16	27	5	70	3	8	91	99	5	79	14	2
2015-01-23	352	32	33	50	14	10	3	90	21	51	23	1	66	13	20	6	0	0	89	10	3	2	7	10283	10309	1	10269	16	10	4	64	22	8	95	99	2	89	13	1
2015-01-24	323	26	31	40	4	10	1	80	5	55	45	1	68	13	43	6	0	0	173	33	14	4	9	10250	10274	1	10194	24	31	8	71	14	8	92	99	2	79	14	2
2015-01-25	291	37	41	60	4	10	23	120	12	47	7	24	69	13	-11	24	31	36	405	46	54	19	5	10121	10182	1	10093	24	30	7	78	12	7	87	99	7	65	12	5
2015-01-26	46	21	25	50	16	0	7	80	16	13	-4	6	40	14	-22	24	2	2	228	0	-1	-1	16	10113	10171	24	10083	5	14	6	75	17	7	90	99	1	75	19	3
2015-01-27	51	44	45	60	18	30	2	100	18	-1	-31	24	14	12	-43	24	56	64	538	0	0	0	1	10221	10256	23	10174	1	58	2	80	19	5	78	91	1	63	16	6
2015-01-28	59	33	33	50	11	20	23	80	11	-24	-49	7	11	14	-63	24	79	89	612	0	0	0	1	10246	10260	8	10230	24	48	24	78	12	0	79	93	23	63	13	6
2015-01-29	41	28	28	40	14	20	1	80	19	-30	-56	5	6	14	-80	6	79	89	705	0	0	0	1	10219	10227	1	10208	14	26	8	56	13	1	91	98	5	80	13	7
2015-01-30	53	28	29	40	9	20	4	70	6	-14	-53	5	14	14	-76	6	3	3	191	0	0	0	1	10228	10238	23	10220	4	11	7	58	13	6	92	99	9	86	17	2
2015-01-31	70	10	18	30	12	10	8	40	1	-13	-29	24	-1	13	-27	24	0	0	163	0	0	0	1	10258	10269	18	10237	1	49	8	63	13	8	87	95	8	81	14	2
2015-02-01	217	35	37	50	15	20	1	80	8	-7	-33	5	24	24	-31	6	0	0	142	11	9	8	18	10257	10271	24	10241	14	5	24	46	2	8	92	99	16	87	8	1
2015-02-02	212	50	50	70	14	20	1	130	17	35	22	7	45	16	23	12	0	0	109	10	12	12	24	10257	10280	8	10219	24	2	3	50	16	8	97	99	1	91	16	1
2015-02-03	227	48	50	80	24	40	6	140	24	56	39	19	80	15	27	24	44	48	461	23	20	17	1	10228	10250	11	10192	24	19	5	64	14	5	90	99	5	74	14	6
2015-02-04	234	97	99	110	14	80	2	210	23	91	65	1	104	18	61	6	0	0	87	30	6	2	4	10157	10183	1	10147	14	60	2	65	6	8	83	90	11	77	23	1
2015-02-05	240	106	106	120	3	90	22	230	3	108	103	1	116	14	99	6	3	3	230	0	0	0	1	10171	10188	24	10152	2	63	1	72	15	8	80	84	22	76	11	3
2015-02-06	238	86	87	100	1	70	21	190	16	100	84	24	113	12	76	24	0	0	182	0	0	0	1	10206	10214	11	10191	1	70	1	80	16	7	77	84	4	69	16	3
2015-02-07	231	63	68	90	14	40	24	160	16	84	71	10	104	19	64	24	20	21	411	0	0	0	1	10161	10206	2	10121	17	62	10	77	22	7	75	82	19	69	22	6
2015-02-08	266	18	22	40	2	0	19	70	1	43	-28	23	92	14	-62	24	83	87	717	0	0	0	1	10226	10248	20	10174	1	57	24	80	16	1	82	99	19	55	15	9
2015-02-09	156	26	26	40	14	10	1	60	14	30	-37	4	94	14	-72	6	71	74	658	0	0	0	1	10213	10239	1	10183	24	39	6	66	18	2	84	99	1	66	15	8
2015-02-10	213	36	37	50	10	20	23	90	10	75	36	1	104	14	26	6	4	4	260	79	91	22	17	10143	10181	1	10102	23	22	23	60	1	8	93	99	18	82	13	4
2015-02-11	274	11	30	50	24	10	16	80	21	78	47	24	95	15	46	24	0	0	109	54	21	6	23	10122	10157	24	10096	4	15	10	61	17	8	97	99	1	91	22	2
2015-02-12	133	26	41	60	7	20	16	90	7	55	31	8	85	18	31	12	0	0	140	97	124	35	6	10123	10153	1	10101	15	16	16	61	2	8	97	99	15	93	2	2
2015-02-13	164	33	39	50	13	30	1	80	24	62	34	8	81	15	37	12	20	20	401	0	0	0	1	10088	10117	1	10055	23	2	8	75	18	8	90	99	8	79	18	5
2015-02-14	163	28	30	50	1	10	18	70	1	63	44	24	82	15	21	24	5	5	194	32	11	5	12	10045	10053	11	10035	24	11	23	63	1	7	92	99	19	86	1	3
2015-02-15	142	37	37	50	12	20	1	90	15	59	35	4	79	13	15	6	34	34	581	5	6	6	24	9984	10030	1	9951	22	22	1	75	15	7	88	99	1	78	13	8
2015-02-16	149	22	29	40	5	20	16	60	2	63	20	23	104	14	-23	24	81	81	780	6	2	2	2	9988	10012	22	9955	1	56	23	70	15	3	87	97	23	70	14	10
2015-02-17	63	34	35	50	17	20	1	90	23	38	6	7	101	14	-19	6	70	70	866	0	0	0	1	10062	10124	24	10013	1	1	6	71	14	3	85	99	2	58	14	11
2015-02-18	91	34	35	50	1	30	6	80	1	10	4	7	15	16	3	12	0	0	98	0	0	0	1	10157	10175	19	10125	1	46	24	56	3	8	83	87	24	80	7	1
2015-02-19	97	52	53	70	20	30	5	110	21	21	6	4	50	14	6	6	15	15	468	0	0	0	1	10160	10172	1	10151	16	41	6	59	24	7	81	88	2	72	14	5
2015-02-20	88	56	56	70	11	40	22	110	12	3	-24	24	27	14	-37	24	23	22	524	0	0	0	1	10173	10191	24	10156	3	56	5	68	22	6	73	79	1	65	20	6
2015-02-21	97	45	45	60	5	30	2	90	5	-19	-46	7	21	14	-55	12	90	87	966	0	0	0	1	10178	10192	1	10161	16	61	24	71	17	1	64	74	7	54	16	9
2015-02-22	116	30	33	40	1	20	10	70	1	-20	-64	7	25	15	-74	12	91	88	971	0	0	0	1	10196	10223	24	10171	1	57	4	61	13	3	66	80	6	53	13	9
2015-02-23	165	44	44	60	14	30	1	100	21	4	-23	1	37	14	-44	6	5	5	390	76	38	9	20	10216	10229	9	10193	24	15	22	60	15	7	78	99	23	59	15	4
2015-02-24	163	23	24	50	1	10	14	80	1	42	9	1	68	15	7	6	0	0	201	39	13	7	1	10221	10263	24	10181	3	1	12	21	4	8	99	99	2	98	1	2
2015-02-25	181	28	30	40	9	10	1	70	9	68	51	1	81	16	51	6	0	0	161	3	1	1	17	10256	10274	12	10221	24	0	1	33	16	8	99	99	1	97	15	2
2015-02-26	193	24	40	50	12	30	1	100	24	73	60	22	95	12	60	24	3	3	200	90	68	21	14	10124	10212	1	10075	17	2	4	62	12	8	97	99	1	84	12	3
2015-02-27	310	48	50	70	7	20	23	150	8	43	13	23	62	1	13	24	0	0	128	186	196	22	16	10131	10188	24	10092	3	12	23	66	7	8	94	99	23	88	7	2
2015-02-28	25	25	27	30	1	20	2	50	1	24	10	1	34	15	10	6	0	0	92	37	14	8	1	10263	10325	24	10193	1	2	10	28	22	8	98	99	1	95	22	1
2015-03-01	34	43	44	60	19	30	1	110	18	25	12	23	41	16	12	24	1	1	305	0	0	0	1	10362	10376	19	10329	1	15	8	47	18	8	91	95	1	83	18	4
2015-03-02	45	44	44	60	20	30	23	90	20	19	-14	7	64	14	-21	12	95	87	1144	0	0	0	1	10355	10370	1	10343	22	16	2	50	12	2	80	94	6	61	12	13
2015-03-03	35	41	41	60	20	30	1	90	18	6	-25	7	60	15	-35	12	99	90	1146	0	0	0	1	10340	10353	10	10325	15	16	7	57	15	1	83	96	6	59	15	12
2015-03-04	28	27	28	40	1	10	21	80	2	-2	-37	6	47	15	-54	6	96	87	1203	0	0	0	1	10324	10341	7	10306	24	12	21	56	15	1	87	98	21	61	15	13
2015-03-05	11	17	20	40	17	0	6	70	16	26	-7	1	61	15	-29	24	8	7	374	0	0	0	1	10293	10307	24	10282	16	40	7	75	16	7	90	99	5	74	17	4
2015-03-06	28	30	32	50	10	10	4	90	10	19	-28	7	67	15	-57	12	92	82	1180	0	0	0	1	10317	10336	24	10303	4	59	2	80	14	2	76	98	7	55	14	13
2015-03-07	112	31	34	50	10	20	1	80	10	20	-29	6	79	14	-77	12	100	89	1324	0	0	0	1	10319	10345	8	10277	24	70	1	83	20	0	57	82	1	34	14	15
2015-03-08	194	32	37	60	15	20	19	100	15	46	-13	6	110	16	-39	6	101	89	1327	0	0	0	1	10216	10276	1	10155	24	57	24	82	2	0	54	76	24	38	12	17
2015-03-09	242	50	52	70	8	30	19	120	9	67	43	1	101	14	23	6	26	23	545	13	12	9	10	10143	10155	19	10130	7	43	9	75	17	6	78	95	10	63	15	7
2015-03-10	235	68	69	90	14	40	1	170	14	77	43	4	103	14	34	6	0	0	280	1	1	1	20	10108	10142	1	10093	16	59	21	65	13	7	83	89	1	75	13	4
2015-03-11	249	34	38	60	13	10	23	110	12	67	10	24	106	15	-25	24	67	58	1013	0	-1	-1	1	10145	10161	11	10119	1	59	7	80	2	5	72	94	24	50	15	14
2015-03-12	159	30	32	60	15	20	1	80	13	85	7	3	127	14	-28	6	63	54	989	0	-1	-1	23	10064	10129	1	10025	18	59	6	74	13	7	75	96	3	56	13	14
2015-03-13	175	30	30	40	1	20	18	70	8	106	91	6	131	14	87	6	2	2	470	30	13	6	23	10042	10084	24	10015	3	29	24	75	1	8	83	99	23	71	15	7
2015-03-14	51	14	17	40	16	0	4	50	16	107	83	6	138	16	70	6	16	14	635	30	29	15	1	10151	10189	23	10089	1	1	5	63	14	8	92	99	1	77	14	9
2015-03-15	78	53	53	70	16	30	1	110	21	113	79	2	164	15	59	6	66	56	1100	0	0	0	1	10164	10186	1	10143	16	20	2	59	13	4	84	99	1	65	14	17
2015-03-16	65	52	53	70	18	40	3	110	17	72	47	24	119	14	46	24	57	48	1086	0	0	0	1	10120	10150	1	10095	16	29	1	58	14	5	84	93	3	67	14	15
2015-03-17	343	23	30	50	1	20	5	70	1	57	45	3	84	16	45	6	0	0	417	0	-1	-1	19	10123	10177	24	10091	4	12	18	56	12	8	90	99	18	80	15	5
2015-03-18	289	9	25	30	1	10	16	70	1	64	45	2	95	12	44	6	3	3	490	78	113	42	16	10223	10272	24	10184	1	19	16	68	22	8	91	97	19	74	11	6
2015-03-19	20	18	21	40	2	0	23	70	2	41	-17	24	102	15	-45	24	85	71	1528	0	0	0	1	10334	10352	21	10282	1	13	6	81	13	3	81	99	4	36	16	19
2015-03-20	178	10	13	30	14	0	1	50	13	38	-28	2	118	16	-53	6	97	80	1445	0	0	0	1	10341	10348	1	10329	16	56	24	79	13	2	75	99	6	39	15	18
2015-03-21	227	8	17	30	10	0	23	60	11	59	-29	5	143	16	-56	6	111	91	1559	0	0	0	1	10350	10360	23	10339	4	25	24	69	14	0	73	99	3	41	13	20
2015-03-22	339	11	18	40	16	0	4	60	16	78	-12	6	162	15	-35	6	108	88	1469	0	0	0	1	10377	10400	22	10357	3	8	23	74	16	1	77	99	1	50	9	20
2015-03-23	36	19	20	30	14	10	4	50	13	83	25	24	150	15	-5	6	77	63	1413	0	0	0	1	10398	10420	9	10385	24	1	3	80	18	3	82	99	1	56	16	20
2015-03-24	36	16	17	40	18	0	3	60	17	90	0	6	166	15	-21	6	108	87	1583	0	0	0	1	10342	10384	1	10275	24	56	24	80	18	1	80	99	1	58	14	23
2015-03-25	5	19	21	40	18	10	1	60	18	92	36	6	148	13	13	6	65	52	1239	0	0	0	1	10205	10266	1	10172	23	18	6	80	12	6	76	99	1	54	13	18
2015-03-26	33	21	23	30	9	10	2	60	10	48	7	5	80	14	-20	6	6	5	605	0	-1	-1	9	10176	10185	10	10168	3	57	4	80	15	7	83	99	3	67	15	8
2015-03-27	54	20	25	40	9	20	1	60	8	62	-6	6	129	14	-28	6	115	91	1774	0	0	0	1	10148	10174	1	10126	16	65	24	80	13	1	66	87	24	41	16	23
2015-03-28	347	16	17	30	9	0	24	60	12	47	-19	4	102	14	-49	6	44	35	1001	0	0	0	1	10163	10178	21	10139	2	8	24	82	15	3	81	99	21	57	13	13
2015-03-29	155	10	15	30	10	0	1	60	12	60	-25	4	146	16	-54	6	117	92	1758	0	0	0	1	10151	10171	1	10132	17	17	2	77	11	0	77	99	23	46	15	23
2015-03-30	206	26	29	60	14	0	1	100	13	90	3	2	154	13	-23	6	18	14	777	11	18	15	16	10131	10137	8	10125	13	24	24	64	13	6	87	99	1	68	12	11
2015-03-31	230	55	58	80	12	30	6	150	16	113	92	4	140	15	90	6	10	8	315	50	55	16	11	10126	10176	24	10102	11	32	1	64	14	8	92	98	1	84	15	5
2015-04-01	229	44	48	60	2	30	6	140	12	126	99	4	161	17	97	24	19	15	551	0	0	0	1	10198	10211	13	10182	1	50	3	74	16	7	89	96	3	76	17	9
2015-04-02	175	28	39	60	11	20	19	100	13	153	90	6	232	16	77	6	96	74	1564	1	1	1	24	10132	10185	1	10095	17	56	1	82	15	3	77	98	1	45	15	26
2015-04-03	255	22	24	40	17	20	1	70	17	118	92	24	153	14	80	24	24	18	832	7	15	10	2	10135	10157	24	10119	2	42	2	75	20	8	84	99	2	71	22	13
2015-04-04	247	42	43	60	13	20	1	120	16	103	82	6	141	12	70	24	46	35	1267	0	0	0	1	10204	10235	22	10156	1	56	2	81	16	6	75	94	2	53	15	19
2015-04-05	223	55	56	90	13	40	1	140	14	99	70	2	119	12	58	6	0	0	413	0	-1	-1	8	10229	10246	24	10220	3	58	24	81	12	7	78	94	24	60	12	6
2015-04-06	242	36	38	50	2	20	20	100	2	144	103	3	208	15	75	24	58	44	1174	0	0	0	1	10253	10271	10	10237	3	26	6	82	18	5	84	99	3	57	17	19
2015-04-07	297	29	32	50	15	10	21	90	10	122	60	22	164	10	26	24	63	47	1249	0	0	0	1	10254	10275	24	10224	5	35	23	75	16	3	76	99	21	61	9	19
2015-04-08	300	22	25	40	10	0	7	80	10	100	35	6	163	13	14	6	116	87	1857	0	0	0	1	10259	10273	1	10245	15	1	4	80	18	3	79	99	1	50	14	27
2015-04-09	18	26	29	50	15	10	2	70	12	104	56	2	162	14	18	6	98	73	1905	0	0	0	1	10261	10276	8	10250	17	56	2	74	12	2	71	99	2	37	13	28
2015-04-10	48	24	25	40	17	10	22	60	13	112	44	5	187	15	19	6	121	89	1900	0	0	0	1	10249	10262	7	10235	24	60	4	81	12	0	69	99	23	39	12	29
2015-04-11	275	21	26	60	23	0	4	130	23	128	45	5	220	14	18	6	106	78	1863	22	49	21	22	10195	10228	1	10168	21	12	4	80	17	3	71	99	1	40	17	29
2015-04-12	305	45	47	60	9	30	1	130	10	84	56	24	112	14	41	24	83	61	1505	7	7	3	7	10242	10266	19	10184	1	62	2	74	15	4	75	94	1	56	12	21
2015-04-13	295	25	28	50	10	10	19	90	10	82	12	24	132	14	-10	24	98	71	1678	0	0	0	1	10223	10248	1	10200	24	60	23	80	15	4	73	99	24	46	14	23
2015-04-14	255	3	13	20	10	10	1	40	8	85	14	1	126	14	-10	6	3	2	760	0	0	0	1	10197	10204	24	10190	3	59	23	67	13	8	82	99	1	63	14	11
2015-04-15	160	6	13	30	12	0	5	60	13	103	22	5	163	14	-1	6	92	66	1869	0	0	0	1	10213	10220	9	10204	3	3	3	72	16	4	68	99	1	38	16	28
2015-04-16	217	1	14	30	16	0	1	70	16	104	24	4	169	13	0	6	27	19	1270	0	-1	-1	18	10227	10239	23	10215	4	11	3	65	10	6	70	99	2	35	13	19
2015-04-17	21	17	20	40	17	10	1	60	17	125	76	24	179	15	30	24	55	39	1353	0	0	0	1	10248	10259	10	10241	3	28	24	64	19	4	73	99	24	45	13	21
2015-04-18	114	26	30	50	11	10	1	100	11	126	30	5	188	16	2	6	128	91	2137	0	0	0	1	10199	10240	1	10158	24	9	1	78	18	0	60	99	2	32	16	33
2015-04-19	134	20	25	40	7	10	17	70	7	152	75	4	238	17	24	6	128	91	2113	0	0	0	1	10153	10161	23	10145	16	58	24	76	16	0	59	99	24	32	15	35
2015-04-20	89	17	19	40	10	10	1	80	11	155	56	5	246	17	29	6	130	92	2132	0	0	0	1	10156	10165	7	10145	16	56	4	75	12	0	63	99	1	27	14	36
2015-04-21	116	16	19	50	10	10	2	70	10	164	63	5	250	17	32	6	114	80	2038	0	0	0	1	10141	10156	6	10123	18	44	5	68	14	1	64	99	4	28	14	35
2015-04-22	122	21	25	50	11	0	3	80	11	182	92	5	263	14	60	6	77	54	1897	0	0	0	1	10107	10120	1	10092	16	58	3	76	18	4	58	99	3	28	14	33
2015-04-23	52	26	29	50	12	10	1	90	14	189	99	3	263	15	70	6	122	85	2137	0	0	0	1	10121	10138	22	10110	1	59	24	80	16	1	53	95	2	23	15	38
2015-04-24	36	16	19	30	11	10	1	60	11	178	89	5	260	14	39	24	106	73	1943	0	0	0	1	10168	10200	24	10137	1	39	4	79	15	0	63	99	4	28	14	34
2015-04-25	47	27	31	50	10	10	23	90	13	167	78	5	239	15	18	6	134	92	2311	0	0	0	1	10207	10217	9	10196	15	60	24	80	14	0	53	95	24	30	12	40
2015-04-26	25	37	38	60	15	10	1	110	16	142	71	3	212	13	19	6	117	80	2085	0	0	0	1	10219	10226	7	10205	16	58	2	77	10	3	64	98	2	38	12	34
2015-04-27	2	46	46	60	7	30	1	100	7	124	94	2	157	13	80	6	55	38	1581	0	-1	-1	17	10201	10219	1	10174	24	59	24	65	1	6	76	90	24	66	13	25
2015-04-28	54	29	34	50	9	20	1	100	20	141	109	5	190	16	91	24	61	42	1517	10	10	9	12	10150	10174	1	10134	17	57	1	75	16	6	79	93	1	58	16	25
2015-04-29	68	46	48	80	17	20	4	130	17	168	101	4	229	15	76	6	88	60	1911	0	-1	-1	21	10121	10133	8	10100	16	46	4	79	24	3	66	96	4	40	17	33
2015-04-30	69	63	63	80	13	50	3	130	14	155	98	6	214	15	89	6	121	82	2274	0	0	0	1	10112	10122	7	10091	17	69	13	83	24	1	46	57	1	36	18	38
2015-05-01	67	62	63	90	12	40	5	140	11	129	69	5	185	15	55	6	136	91	2555	0	0	0	1	10127	10144	24	10117	17	74	13	83	2	0	42	54	3	28	15	40
2015-05-02	58	59	60	80	11	40	1	140	12	98	53	5	148	14	39	6	135	90	2476	0	0	0	1	10132	10149	23	10116	14	74	12	83	1	1	48	68	5	28	13	36
2015-05-03	41	42	43	60	9	20	23	100	9	82	22	5	141	15	1	24	140	93	2622	0	0	0	1	10179	10204	24	10151	1	70	24	83	4	0	51	89	24	31	12	37
2015-05-04	352	21	25	40	8	0	2	80	14	80	3	4	141	16	-30	6	101	67	2051	0	0	0	1	10222	10240	22	10202	1	12	4	83	19	3	71	99	2	49	16	28
2015-05-05	123	18	20	40	12	10	1	90	11	106	0	5	184	16	-35	6	134	89	2333	0	0	0	1	10227	10243	6	10207	24	60	4	75	6	2	62	98	4	33	16	35
2015-05-06	133	26	28	40	11	20	1	90	12	150	51	3	223	14	8	6	118	78	2116	0	0	0	1	10189	10204	1	10179	17	62	1	75	16	2	53	92	1	29	14	35
2015-05-07	140	41	43	60	13	30	1	120	15	203	109	4	278	16	65	6	118	77	2261	0	0	0	1	10159	10175	1	10145	16	68	7	82	18	2	47	66	5	30	16	41
2015-05-08	148	23	40	60	2	20	17	100	2	213	158	24	269	14	147	24	69	45	2012	0	-1	-1	22	10171	10197	24	10153	2	58	24	83	3	6	49	87	24	36	16	37
2015-05-09	339	14	18	30	11	10	5	60	11	163	110	24	204	16	81	24	42	27	1150	6	4	3	9	10226	10240	21	10198	1	3	23	65	15	6	87	99	21	71	16	20
2015-05-10	353	18	22	40	22	10	1	70	22	165	101	1	232	14	79	6	41	27	1451	25	49	41	23	10250	10270	8	10240	1	11	2	80	12	6	77	99	1	50	13	25
2015-05-11	289	18	22	40	10	0	4	90	11	150	90	24	209	13	67	24	124	80	2438	0	0	0	1	10222	10236	2	10200	24	1	4	81	19	4	72	99	2	37	11	40
2015-05-12	263	29	33	60	13	10	1	110	13	131	83	3	174	10	55	6	71	46	1777	0	0	0	1	10187	10202	23	10174	10	31	2	80	13	5	74	99	1	47	15	28
2015-05-13	269	17	25	40	10	0	22	80	10	136	80	24	187	15	54	24	91	58	1839	0	0	0	1	10199	10217	9	10166	24	57	2	81	18	5	71	99	23	49	12	29
2015-05-14	279	34	36	60	13	10	1	110	11	120	74	4	155	15	47	6	77	49	2118	0	-1	-1	18	10167	10184	22	10147	5	60	2	83	18	5	70	99	1	49	14	33
2015-05-15	292	32	35	60	15	20	4	110	15	117	84	4	154	13	71	6	58	37	1802	4	22	15	3	10217	10238	19	10184	1	56	3	81	11	6	71	95	4	56	12	28
2015-05-16	249	42	44	60	16	30	1	120	18	131	110	1	150	16	106	6	4	3	599	67	50	16	9	10205	10220	1	10188	24	23	9	75	3	8	86	97	7	76	2	9
2015-05-17	259	30	32	40	1	20	20	100	1	140	107	23	168	16	82	24	10	6	987	12	5	4	6	10191	10200	13	10179	24	58	5	78	16	8	81	94	6	69	16	16
2015-05-18	221	30	33	50	12	10	22	100	14	140	115	24	169	18	87	24	23	15	877	0	0	0	1	10159	10175	1	10146	18	57	8	75	14	7	83	95	22	72	17	14
2015-05-19	27	15	20	30	4	10	23	60	4	122	60	24	160	16	25	24	27	17	1055	50	13	4	3	10180	10194	21	10154	1	8	24	75	18	6	85	99	2	61	18	16
2015-05-20	280	14	21	40	12	0	4	80	13	132	40	4	212	14	11	6	115	72	2388	0	0	0	1	10190	10215	24	10179	14	1	24	72	17	2	76	99	1	48	11	38
2015-05-21	161	15	18	30	11	10	1	60	15	145	48	3	221	17	13	6	142	89	2718	0	0	0	1	10200	10228	7	10154	24	0	3	79	10	1	71	99	1	39	16	44
2015-05-22	236	40	43	70	12	10	1	140	12	148	107	2	186	11	79	6	43	27	1397	26	73	31	4	10167	10222	24	10137	3	50	4	78	11	5	74	99	5	51	15	23
2015-05-23	219	45	47	70	11	30	2	130	11	160	103	4	214	16	93	6	125	78	2590	0	0	0	1	10210	10237	7	10177	23	59	4	77	16	3	64	94	4	38	15	44
2015-05-24	271	42	45	70	11	20	21	130	11	136	99	24	162	15	64	24	135	84	2682	0	0	0	1	10243	10278	22	10179	1	65	5	81	13	3	58	84	24	35	14	43
2015-05-25	164	21	25	40	11	10	1	80	11	150	59	3	215	16	31	6	134	83	2737	0	0	0	1	10234	10282	7	10136	24	4	3	83	22	2	59	99	2	30	16	45
2015-05-26	220	53	60	80	11	40	1	170	18	147	116	24	179	9	115	24	24	15	1139	17	28	21	24	10084	10126	1	10064	8	65	20	83	1	7	61	94	24	45	1	19
2015-05-27	274	35	38	50	1	10	22	110	1	124	95	24	152	16	67	24	61	38	1579	10	18	16	1	10145	10186	20	10088	1	57	3	81	17	7	75	96	1	59	16	25
2015-05-28	227	50	52	70	10	30	1	140	14	129	95	3	165	13	81	6	32	20	1314	17	8	5	17	10145	10174	1	10123	21	56	3	76	12	6	78	92	3	59	13	21
2015-05-29	227	53	53	70	9	30	21	150	15	159	125	1	217	16	123	6	45	28	1381	0	-1	-1	1	10130	10146	24	10117	4	60	1	82	16	6	75	89	2	49	17	23
2015-05-30	211	21	30	60	19	10	2	130	18	191	91	4	281	16	62	6	114	70	2618	3	1	1	21	10110	10144	1	10071	17	2	3	82	17	4	67	99	2	30	14	47
2015-05-31	317	27	34	40	2	20	23	100	8	135	95	24	167	16	65	24	30	18	1106	33	34	13	6	10172	10263	24	10095	1	33	8	80	16	6	81	97	6	53	15	18
2015-06-01	333	21	24	40	17	10	1	70	11	135	49	3	200	15	16	6	152	93	2977	0	0	0	1	10298	10324	23	10266	1	2	4	82	20	0	66	99	1	38	14	48
2015-06-02	30	34	35	60	17	10	1	100	15	160	52	4	222	15	21	6	152	93	2874	0	0	0	1	10331	10342	8	10323	1	61	2	82	7	0	65	99	1	38	10	48
2015-06-03	44	47	48	70	13	20	1	130	13	188	122	4	251	16	98	6	145	88	2768	0	0	0	1	10292	10335	1	10245	24	57	4	81	15	1	71	96	3	49	16	49
2015-06-04	39	52	53	70	16	30	6	140	19	210	138	24	277	14	133	24	133	81	2619	0	0	0	1	10189	10240	1	10142	24	65	4	83	19	1	65	91	4	44	15	49
2015-06-05	16	29	32	50	1	10	24	90	1	166	132	2	215	16	127	6	39	24	1348	22	20	12	7	10086	10139	1	10039	24	57	7	75	15	7	87	96	8	74	13	23
2015-06-06	337	16	20	30	15	10	1	70	21	160	116	24	213	14	117	24	8	5	977	49	74	37	9	10032	10048	23	10023	15	26	23	59	17	8	91	98	1	79	13	16
2015-06-07	222	8	23	30	2	10	19	70	24	153	114	2	195	15	115	6	42	25	1726	20	33	17	23	10053	10067	11	10039	22	19	23	75	9	7	78	96	1	61	16	29
2015-06-08	257	34	36	50	12	10	5	100	11	145	111	4	184	16	110	24	57	34	1901	43	21	7	1	10072	10104	23	10046	1	50	3	81	20	5	69	95	4	46	13	31
2015-06-09	243	30	34	50	13	10	22	120	13	139	72	24	186	16	38	24	103	62	2048	4	1	1	10	10142	10169	22	10107	1	62	5	81	19	3	68	97	23	46	16	33
2015-06-10	190	12	20	40	18	0	4	130	17	130	57	3	198	14	26	6	31	19	1718	34	45	28	18	10148	10164	1	10129	16	33	2	81	16	7	78	99	1	44	11	27
