IATA;ICAO;Merk;Type;Wake;Cat;Capaciteit;Vracht
DH2;DH8B;De Haviland Canada;De Havilland Canada DHC-8-200 Dash 8 / 8Q;M;Pax;;
DH3;DH8C;De Haviland Canada;De Havilland Canada DHC-8-300 Dash 8 / 8Q;M;Pax;50;1
DH4;DH8D;De Haviland Canada;De Havilland Canada DHC-8-400 Dash 8Q;M;Pax;70;1
DH7;DHC7;De Haviland Canada;De Havilland Canada DHC-7 Dash 7;M;Pax;45;1
DH8;n/a;De Haviland Canada;De Havilland Canada DHC-8 Dash 8 all models;M;Pax;;
DHB;n/a;De Haviland Canada;De Havilland Canada DHC-2 Beaver / Turbo Beaver;L;Light;;
DHC;DHC4;De Haviland Canada;De Havilland Canada DHC-4 Caribou;M;Light;;
DHD;DOVE;De Haviland Canada;De Havilland DH.104 Dove;L;Light;;
DHH;HERN;De Haviland Canada;De Havilland DH.114 Heron;L;Light;;
DHL;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Turbo Otter;L;Light;;
DHO;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Otter / Turbo Otter;L;Light;;
DHP;DHC2;De Haviland Canada;De Havilland Canada DHC-2 Beaver;L;Light;;
DHR;DH2T;De Haviland Canada;De Havilland Canada DHC-2 Turbo-Beaver;L;Light;;
DHS;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Otter;L;Light;;
DHT;DHC6;De Haviland Canada;De Havilland Canada DHC-6 Twin Otter;L;Light;;
E70;E170;Embraer;Embraer 170;M;Pax;70;6
E90;E190;Embraer;Embraer 190;M;Pax;94;6
EM2;E120;Embraer;Embraer EMB.120 Brasilia;L;Pax;33;6
EMB;E110;Embraer;Embraer EMB.110 Bandeirnate;M;Pax;25;6
EMJ;;Embraer;Embraer 170/190;M;Pax;;
ER3;E135;Embraer;Embraer Legacy 600/650;L;Light;13;0
ER4;E145;Embraer;Embraer RJ145 Amazon;M;Pax;50;5
ERD;;Embraer;Embraer RJ140;M;Pax;;
ERJ;n/a;Embraer;Embraer RJ135 / RJ140 / RJ145;M;Pax;;
F21;F28;Fokker;Fokker F.28 Fellowship 1000;M;Pax;;
F22;F28;Fokker;Fokker F.28 Fellowship 2000;M;Pax;;
F23;F28;Fokker;Fokker F.28 Fellowship 3000;M;Pax;;
F24;F28;Fokker;Fokker F.28 Fellowship 4000;M;Pax;;
F27;F27;Fokker;Fokker F.27 Friendship / Fairchild F.27;M;Pax;;
F28;F28;Fokker;Fokker F.28 Fellowship;M;Pax;;
F50;F50;Fokker;Fokker 50;M;Pax;50;2
F70;F70;Fokker;Fokker 70;M;Pax;70;2
FA7;n/a;Fairchild;Fairchild Dornier 728JET;M;;;
FK7;F27;Fairchild;Fairchild FH.227;M;;;
FRJ;J328;Fairchild;Fairchild Dornier 328JET;M;;;
GRG;G21;Grumman;Grumman G.21 Goose;L;Light;;
GRJ;n/a;Gulfstream;Gulfstream Aerospace G-1159 Gulfstream II / III / IV / V;M;Light;16;0
GRM;G73T;Grumman;Grumman G.73 Turbo Mallard;L;Light;;
GRS;G159;Gulfstream;Gulfstream Aerospace G-159 Gulfstream I;M;;;
HEC;COUC;Helio;Helio H-250 Courier / H-295 / 385 Super Courier;L;Light;;
HOV;n/a;;Hovercraft;n/a;;;
HS7;A748;Hawker;Hawker Siddeley HS.748;M;Pax;;
H25;H25B;Hawker;Hawker/Raytheon 700/800/800XP/850/900;L;Light;8;0
I14;I114;Ilyushin;Ilyushin IL114;M;;;
I93;IL96;Ilyushin;Ilyushin IL96-300 pax;H;Pax;;
I9F;IL96;Ilyushin;Ilyushin IL96 Freighters;H;Freighter;;
I9M;IL96;Ilyushin;Ilyushin IL96M pax;H;Pax;275;5
I9X;IL96;Ilyushin;Ilyushin IL96-300 Freighter;H;Freighter;;
I9Y;IL96;Ilyushin;Ilyushin IL96T Freighter;H;Freighter;;
IL6;IL62;Ilyushin;Ilyushin IL62;H;Pax;180;3
IL7;IL76;Ilyushin;Ilyushin IL76;H;;0;34
IL8;IL18;Ilyushin;Ilyushin IL18;M;Pax;250;5
IL9;IL96;Ilyushin;Ilyushin IL96 pax;H;Pax;;
ILW;IL86;Ilyushin;Ilyushin IL86;H;;;
J31;JS31;British Aerospace;British Aerospace Jetstream 31;L;Light;19;0
J32;JS32;British Aerospace;British Aerospace Jetstream 32;L;Light;;
J41;JS41;British Aerospace;British Aerospace Jetstream 41;M;Pax;29;0
JST;n/a;British Aerospace;British Aerospace Jetstream 31 / 32 / 41;L/M;Pax;;
JU5;JU52;Junkers;Junkers Ju52/3M;M;;;
L10;L101;Lockheed;Lockheed L-1011 Tristar pax;H;Pax;;
L11;L101;Lockheed;Lockheed L-1011 1 / 50 / 100 / 150 / 200 / 250 Tristar pax;H;Pax;;
L15;L101;Lockheed;Lockheed L-1011 500 Tristar pax;H;Pax;;
